CustomerID,Count,Zip Code,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Payment Method_Bank transfer (automatic),Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Reason_Active,Reason_Competition,Reason_Cost,Reason_Other,Reason_Personal,Reason_Service Quality,City_Encoded,Cluster_Labels,Tenure_Pee_Dollar,Avg_Historical_Monthly,Price_Hike_Indicator,Total_Services,Cost_Per_Service
3668-QPYBK,1,90003,33.964131,-118.272783,0,0,0,0,2,1,0,1,1,0,0,0,0,0,1,53.85,108.15,1,1,86,3239,1,0,0,0,0,0,1,0,1,0,0,0,0,0.2941387260569427,0,0.03646308113035551,36.050000000000004,1.4534412955465585,3,17.95
9237-HQITU,1,90005,34.059281,-118.30742,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,70.7,151.65,1,1,67,2701,0,1,0,0,0,1,0,0,0,0,0,1,0,0.2941387260569427,0,0.02789400278940028,50.550000000000004,1.3714839961202716,1,70.7
9305-CDSKC,1,90006,34.048013,-118.293953,1,0,0,1,8,1,1,0,0,1,0,1,1,0,1,99.65,820.5,1,1,86,5372,0,1,0,0,0,1,0,0,0,0,0,1,0,0.2941387260569427,0,0.07948335817188276,91.16666666666667,1.0811934900542495,5,19.93
7892-POOKP,1,90010,34.062125,-118.315709,1,0,1,1,28,1,1,0,0,1,1,1,1,0,1,104.8,3046.05,1,1,84,5003,0,1,0,0,0,1,0,0,0,0,0,1,0,0.2941387260569427,0,0.26465028355387527,105.03620689655173,0.9883416529812522,6,17.466666666666665
0280-XJGEX,1,90015,34.039224,-118.266293,0,0,0,1,49,1,1,0,1,1,0,1,1,0,1,103.7,5036.3,1,1,89,5340,0,1,0,1,0,0,0,0,1,0,0,0,0,0.2941387260569427,0,0.4680038204393505,100.726,1.0194050685173899,6,17.283333333333335
4190-MFLUW,1,90020,34.066367,-118.309868,1,0,1,0,10,1,0,0,0,1,1,0,0,0,0,55.2,528.35,1,1,78,5925,1,0,0,0,1,0,0,0,1,0,0,0,0,0.2941387260569427,0,0.1779359430604982,48.03181818181818,1.1257995735607678,3,18.400000000000002
8779-QRDMV,1,90022,34.02381,-118.156582,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,39.65,39.65,1,1,100,5433,1,0,0,0,0,1,0,0,1,0,0,0,0,0.2941387260569427,0,0.024600246002460024,19.825,1.9039615846338536,2,19.825
1066-JKSGK,1,90024,34.066303,-118.435479,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20.15,20.15,1,1,92,4832,0,0,1,0,0,0,1,0,1,0,0,0,0,0.2941387260569427,0,0.047281323877068564,10.075,1.81941309255079,1,20.15
6467-CHFZW,1,90028,34.099869,-118.326843,0,0,1,1,47,1,1,0,1,0,0,1,1,0,1,99.35,4749.15,1,1,77,5789,0,1,0,0,0,1,0,0,1,0,0,0,0,0.2941387260569427,0,0.4683607374190334,98.940625,0.9940902410806416,5,19.869999999999997
8665-UTDHZ,1,90029,34.089953,-118.294824,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,30.2,30.2,1,1,97,2915,1,0,0,0,0,1,0,0,1,0,0,0,0,0.2941387260569427,0,0.032051282051282055,15.1,1.8757763975155277,1,30.2
